Q1 Answer: A, C, D
Q2 Answer: A, B
Q3 Answer: A, D
Q4 Answer: A, D
Q5 Answer: A, B
Q6 Answer: B, C
Q7 Answer: A, D
Q8 Answer: A, C
Q9 Answer: B, C
Q10 Answer: B, D
Q11 Answer: A, D
Q12 Answer: B, D
Q13 Answer: A, D
Q14 Answer: B, C
Q15 Answer: B, D
Q16 Answer: C, D
Q17 Answer: A, C
Q18 Answer: B, D
Q19 Answer: C, D
Q20 Answer: B, C
Q21 Answer: A, B
Q22 Answer: B, D
Q23 Answer: B, D
Q24 Answer: B, C
Q25 Answer: A, B
Q26 Answer: B, D
Q27 Answer: A, D
Q28 Answer: A, D
Q29 Answer: A, D
Q30 Answer: B, D
Q31 Answer: A, B, C
Q32 Answer: B, D
Q33 Answer: A, D
Q34 Answer: C, D
Q35 Answer: A, B
Q36 Answer: B, D
Q37 Answer: B, C
Q38 Answer: B, D
Q39 Answer: A, B
Q40 Answer: A, C
Q41 Answer: B, C, D
Q42 Answer: A, D
Q43 Answer: A, B
Q44 Answer: B, D
Q45 Answer: C, D
Q46 Answer: C, D
Q47 Answer: A, C, D
Q48 Answer: A, D
Q49 Answer: C, D
Q50 Answer: C, D
Q51 Answer: C, D
Q52 Answer: B, C
Q53 Answer: A, B, D
Q54 Answer: B, C
Q55 Answer: A, B
Q56 Answer: A, B, D
Q57 Answer: A, B, C
Q58 Answer: B, D
Q59 Answer: A, D
Q60 Answer: B, D
Q61 Answer: A, B
Q62 Answer: A, B
Q63 Answer: B, D
Q64 Answer: A, D
Q65 Answer: A, D
Q66 Answer: A, D
Q67 Answer: A, D
Q68 Answer: A, D
Q69 Answer: B, C
Q70 Answer: B, D
Q71 Answer: A, B
Q72 Answer: A, D
Q73 Answer: B, D
Q74 Answer: A, D
Q75 Answer: B, C
Q76 Answer: A, B
Q77 Answer: A, D
Q78 Answer: A, D
Q79 Answer: B, D
Q80 Answer: B, D
Q81 Answer: A, D
Q82 Answer: B, C
Q83 Answer: B, D
Q84 Answer: B, C
Q85 Answer: A, B
Q86 Answer: C, D
Q87 Answer: B, C
Q88 Answer: C, D
Q89 Answer: B, C
Q90 Answer: A, D
Q91 Answer: A, C
Q92 Answer: B, D
Q93 Answer: C, D
Q94 Answer: A, C
Q95 Answer: B, C
Q96 Answer: A, C
Q97 Answer: B, C
Q98 Answer: A, B, C
Q99 Answer: A, D
Q100 Answer: A, D
Q101 Answer: C, D
Q102 Answer: A, B
Q103 Answer: B, D
Q104 Answer: A, C, D
Q105 Answer: C, D
Q106 Answer: A, B
Q107 Answer: A, B
Q108 Answer: A, B
Q109 Answer: B, C
Q110 Answer: B, D
Q111 Answer: A, B
Q112 Answer: A, D
Q113 Answer: A, B
Q114 Answer: C, D
Q115 Answer: A, C
Q116 Answer: B, D
Q117 Answer: A, B
Q118 Answer: C, D
Q119 Answer: B, C
Q120 Answer: B, C
Q121 Answer: C, D
Q122 Answer: C, D
Q123 Answer: A, B
Q124 Answer: B, D
Q125 Answer: C, D
Q126 Answer: B, D
Q127 Answer: A, B
Q128 Answer: B, D
Q129 Answer: A, B
Q130 Answer: A, D
Q131 Answer: A, B
Q132 Answer: A, D
Q133 Answer: A, B
Q134 Answer: B, C
Q135 Answer: B, C
Q136 Answer: B, D
Q137 Answer: B, D
Q138 Answer: B, D
Q139 Answer: B, D
Q140 Answer: A, C
Q141 Answer: C, D
Q142 Answer: C, D
Q143 Answer: C, D
Q144 Answer: C, D
Q145 Answer: A, B
Q146 Answer: A, D
Q147 Answer: B, C
Q148 Answer: C, D
Q149 Answer: A, B
Q150 Answer: B, C
Q151 Answer: B, D
Q152 Answer: A, B, C
Q153 Answer: A, C
Q154 Answer: B, C
Q155 Answer: B, C
Q156 Answer: A, C
Q157 Answer: B, C
Q158 Answer: B, C
Q159 Answer: A, D
Q160 Answer: A, B
Q161 Answer: B, C
Q162 Answer: A, B
Q163 Answer: B, C
Q164 Answer: A, B
Q165 Answer: C, D
Q166 Answer: A, D
Q167 Answer: B, D
Q168 Answer: A, C
Q169 Answer: B, C
Q170 Answer: B, D
Q171 Answer: A, C, D
Q172 Answer: B, D
Q173 Answer: A, C
Q174 Answer: A, B
Q175 Answer: B, C
Q176 Answer: A, B
Q177 Answer: A, B
Q178 Answer: C, D
Q179 Answer: C, D
Q180 Answer: A, D
Q181 Answer: C, D
Q182 Answer: B, D
Q183 Answer: A, B
Q184 Answer: A, B
Q185 Answer: A, C
Q186 Answer: A, D
Q187 Answer: B, D
Q188 Answer: A, C
Q189 Answer: A, C
Q190 Answer: B, D
Q191 Answer: A, B
Q192 Answer: A, C
Q193 Answer: B, C
Q194 Answer: A, B
Q195 Answer: B, D
Q196 Answer: B, C, D
Q197 Answer: C, D
Q198 Answer: A, B
Q199 Answer: B, D
Q200 Answer: A, B
Q201 Answer: C, D
Q202 Answer: B, C
Q203 Answer: A, C
Q204 Answer: A, B
Q205 Answer: A, D
Q206 Answer: A, C
Q207 Answer: B, D
Q208 Answer: A, C
Q209 Answer: A, B
Q210 Answer: A, D
Q211 Answer: C, D
Q212 Answer: A, B
Q213 Answer: B, C
Q214 Answer: A, C
Q215 Answer: B, C
Q216 Answer: A, B
Q217 Answer: C, D
Q218 Answer: C, D
Q219 Answer: B, D
Q220 Answer: C, D
Q221 Answer: B, C
Q222 Answer: B, C
Q223 Answer: A, C
Q224 Answer: A, C
Q225 Answer: A, B
Q226 Answer: A, D
Q227 Answer: C, D
Q228 Answer: A, C
Q229 Answer: A, C
Q230 Answer: A, B
Q231 Answer: A, C
Q232 Answer: B, C
Q233 Answer: C, D
Q234 Answer: A, D
Q235 Answer: A, B
Q236 Answer: A, C
Q237 Answer: B, C
Q238 Answer: A, C
Q239 Answer: A, B
Q240 Answer: A, B
Q241 Answer: B, C
Q242 Answer: B, C
Q243 Answer: C, D
Q244 Answer: A, B, D
Q245 Answer: A, B, D
Q246 Answer: A, B
Q247 Answer: A, B
Q248 Answer: A, C
Q249 Answer: A, B
Q250 Answer: A, C, D
Q251 Answer: A, C
Q252 Answer: A, D
Q253 Answer: B, C
Q254 Answer: A, B, C
Q255 Answer: A, C
Q256 Answer: A, B
Q257 Answer: A, B, C
Q258 Answer: A, D
Q259 Answer: B, C
Q260 Answer: C, D
Q261 Answer: B, C, D
Q262 Answer: B, D
Q263 Answer: B, D
Q264 Answer: B, C
Q265 Answer: B, D
Q266 Answer: A, B
Q267 Answer: A, C
Q268 Answer: A, B
Q269 Answer: A, D
Q270 Answer: C, D
Q271 Answer: A, D
Q272 Answer: C, D
Q273 Answer: B, C
Q274 Answer: A, D
Q275 Answer: C, D
Q276 Answer: A, D
Q277 Answer: C, D
Q278 Answer: B, D
Q279 Answer: A, C
Q280 Answer: A, C
Q281 Answer: A, D
Q282 Answer: A, D
Q283 Answer: A, B
Q284 Answer: C, D
Q285 Answer: B, D
Q286 Answer: A, B
Q287 Answer: A, B
Q288 Answer: A, D
Q289 Answer: A, B
Q290 Answer: C, D
Q291 Answer: A, B
Q292 Answer: C, D
Q293 Answer: A, C
Q294 Answer: B, C
Q295 Answer: C, D
Q296 Answer: B, D
Q297 Answer: A, D
Q298 Answer: B, D
Q299 Answer: A, B
Q300 Answer: A, C
Q301 Answer: A, B, D
Q302 Answer: A, C
Q303 Answer: A, B, D
Q304 Answer: A, B
Q305 Answer: A, C
Q306 Answer: A, D
Q307 Answer: A, B
Q308 Answer: A, D
Q309 Answer: A, B, C
Q310 Answer: A, C
Q311 Answer: B, D
Q312 Answer: A, C
Q313 Answer: A, C
Q314 Answer: A, D
Q315 Answer: B, C
Q316 Answer: A, B
Q317 Answer: B, C
Q318 Answer: A, D
Q319 Answer: A, C
Q320 Answer: A, C
Q321 Answer: C, D
Q322 Answer: B, C
Q323 Answer: A, B
Q324 Answer: B, C
Q325 Answer: A, D
Q326 Answer: B, D
Q327 Answer: A, D
Q328 Answer: B, D
Q329 Answer: A, B, D
Q330 Answer: B, C
Q331 Answer: A, D
Q332 Answer: C, D
Q333 Answer: B, C
Q334 Answer: B, C
Q335 Answer: A, B
Q336 Answer: A, C
Q337 Answer: A, B
Q338 Answer: C, D
Q339 Answer: B, C
Q340 Answer: A, C
Q341 Answer: B, D
Q342 Answer: A, D
Q343 Answer: B, D
Q344 Answer: A, B
Q345 Answer: C, D
Q346 Answer: A, C
Q347 Answer: A, D
Q348 Answer: B, C
Q349 Answer: A, D
Q350 Answer: C, D
Q351 Answer: A, C
Q352 Answer: B, C
Q353 Answer: B, D
Q354 Answer: A, D
Q355 Answer: B, D
Q356 Answer: A, D
Q357 Answer: A, C
Q358 Answer: A, D
Q359 Answer: B, C, D
Q360 Answer: C, D
Q361 Answer: A, D
Q362 Answer: A, C
Q363 Answer: A, D
Q364 Answer: A, C, D
Q365 Answer: B, C, D
Q366 Answer: B, C
Q367 Answer: A, D
Q368 Answer: C, D
Q369 Answer: A, D
Q370 Answer: B, D
Q371 Answer: A, B, D
Q372 Answer: C, D
Q373 Answer: B, D
Q374 Answer: B, C
Q375 Answer: B, C
Q376 Answer: A, D
Q377 Answer: B, D
Q378 Answer: B, C
Q379 Answer: A, B
Q380 Answer: A, C
Q381 Answer: B, C
Q382 Answer: B, D
Q383 Answer: B, C
Q384 Answer: A, B
Q385 Answer: A, B
Q386 Answer: A, D
Q387 Answer: B, C
Q388 Answer: C, D
Q389 Answer: C, D
Q390 Answer: B, C
Q391 Answer: A, B
Q392 Answer: A, C
Q393 Answer: C, D
Q394 Answer: B, C
Q395 Answer: B, D
Q396 Answer: A, D
Q397 Answer: A, B
Q398 Answer: B, D
Q399 Answer: C, D
Q400 Answer: A, D
Q401 Answer: A, B
Q402 Answer: C, D
Q403 Answer: A, B
Q404 Answer: A, C
Q405 Answer: B, D
Q406 Answer: A, D
Q407 Answer: A, C
Q408 Answer: A, D
Q409 Answer: C, D
Q410 Answer: A, B
Q411 Answer: B, D
Q412 Answer: B, C
Q413 Answer: A, D
Q414 Answer: B, D
Q415 Answer: A, B
Q416 Answer: A, C
Q417 Answer: A, D
Q418 Answer: A, C
Q419 Answer: A, D
Q420 Answer: B, C
Q421 Answer: B, C
Q422 Answer: B, C
Q423 Answer: A, B
Q424 Answer: B, D
Q425 Answer: C, D
Q426 Answer: A, D
Q427 Answer: B, D
Q428 Answer: A, B
Q429 Answer: B, D
Q430 Answer: A, C, D
Q431 Answer: B, C, D
Q432 Answer: C, D
Q433 Answer: B, C, D
Q434 Answer: B, D
Q435 Answer: A, D
Q436 Answer: A, B
Q437 Answer: C, D
Q438 Answer: B, D
Q439 Answer: A, D
Q440 Answer: C, D
Q441 Answer: A, D
